Name,Referenced In,Affiliated Organizations,Link,Geography Name,Geography Level,Type,Topic,Contact
Toward Inclusive Urban Technology,3,Benton Institute for Broadband & Society,https://www.benton.org/publications/inclusive-urban-tech,United States,federal,tool,community engagement,driedl@southbendin.gov 
Pittsburgh Equity Indicators,4,City of Pittsburgh,https://pittsburghpa.gov/equityindicators/,"Pittsburgh, Pennsylvania",local,program,data analytics,majestic.lane@pittsburghpa.gov
Citywide Disaggregated Data Standard,4,City of Austin,https://www.austintexas.gov/department/equity-office,"Austin, Texas",local,policy,data analytics,Kellee.Coleman@austintexas.gov
OnePGH Resilient Pittsburgh Strategy,4,City of Pittsburgh,https://pittsburghpa.gov/onepgh/,"Pittsburgh, Pennsylvania",local,strategy,equity,grant.ervin@pittsburghpa.gov
City of Portland Privacy and Information Protection Principles,5,City of Portland,https://www.smartcitypdx.com/privacy-principles,"Portland, Oregon",local,policy,data privacy,Christine.Kendrick@portlandoregon.gov
Draft Model Data Handling Policy for Municipalities,5,University of Missouri-Kansas City School of Law; Legal Technology Laboratory,https://www.govtech.com/analytics/Cities-Partner-on-Model-Policy-for-Handling-Municipal-Data.html,"Kansas City, Missouri",local,policy,data privacy,luppinoa@umkc.edu
Innovation Team (i-Team),5,City of Austin,http://projects.austintexas.io/projects/bloomberg-iteam/about/overview/,"Austin, Texas",local,partnership,data privacy,
OpenNorth Open Smart Cities Guide,5,OpenNorth,https://www.opennorth.ca/publications/#open-smart-cities-guide,Canada,federal,strategy,smart cities,
Pittsburgh Principles for Autonomous Vehicle Technology,6,City of Pittsburgh,https://smartcitiesconnect.org/pittsburgh-principles-defines-expectations-and-policies-for-av-testing/,"Pittsburgh, Pennsylvania",local,policy,smart cities,
Rec2Tech,6,City of Pittsburgh,https://pittsburghpa.gov/onepgh/documents/people/rec2tec.pdf,"Pittsburgh, Pennsylvania",local,program,digital inclusion,itha.cao@pittsburghpa.gov
Broadband Ready Buildings Questionnaire,6,City of Boston,http://www.bostonplans.org/projects/development-review/article-80-design-review-broadband-ready-buildings,"Boston, Massachusetts",local,program,digital inclusion,anne.schwieger@boston.gov
PayNearMe,6,City of Philadelphia; Indego ,https://www.rideindego.com/passes/cash-program/,"Philadelphia, Pennsylvania",local,program,equity,
Autonomous Vehicles: Boston's Approach,6,City of Boston,https://www.boston.gov/departments/new-urban-mechanics/autonomous-vehicles-bostons-approach,"Boston, Massachusetts",local,policy,smart cities,
New York City Automated Decision Systems Task Force,6,City of New York City,https://www1.nyc.gov/site/adstaskforce/index.page,"New York City, New York",local,policy,smart cities,
Vermont Artificial Intelligence Task Force,6,State of Vermont,https://accd.vermont.gov/economic-development/artificial-intelligence-task-force,Vermont,state,policy,smart cities,
Shadow Report of the New York City Automated Decision Systems Task Force,6,AI Now Institute,https://ainowinstitute.org/ads-shadowreport-2019.pdf,"New York City, New York",local,report,smart cities,
Boston Facial Recognition Technology Ban,6,City of Boston,https://assets.documentcloud.org/documents/6956465/Boston-City-Council-face-surveillance-ban.pdf,"Boston, Massachusetts",local,policy,data privacy,
San Francisco Facial Recognition Technology Ban,6,City of San Francisco,https://sfgov.legistar.com/View.ashx?M=F&ID=7206781&GUID=38D37061-4D87-4A94-9AB3-CB113656159A,"San Francisco, California",local,policy,data privacy,
SNAP Online Purchasing Pilot,6,US Department of Agriculture,https://www.fns.usda.gov/pressrelease/2019/fns-000319,United States,federal,program,digital inclusion,
Portland Facial Recognition Technology Ban,6,City of Portland,https://www.portlandoregon.gov/auditor/article/765749,"Portland, Oregon",local,policy,data privacy,
Technology Leadership Council,7,City of Pittsburgh,https://pittsburghpa.gov/innovation-performance/index.html,"Pittsburgh, Pennsylvania",local,policy,smart cities,santiago.garces@pittsburghpa.gov
Ethical Data Working Group,7,City of Boston,https://www.boston.gov/departments/analytics-team,"Boston, Massachusetts",local,program,data analytics,matthew.nk.smith@boston.gov
Equity Assessment Tool,7,City of Austin,http://www.austintexas.gov/edims/document.cfm?id=279626,"Austin, Texas",local,tool,equity,Kellee.Coleman@austintexas.gov
Office of Design and Delivery Equity Assessment Protocol,7,City of Austin,https://odd.austintexas.io/,"Austin, Texas",local,tool,equity,
Equity Assessment Toolkit,7,Government Alliance on Race & Equity,https://www.racialequityalliance.org/resources/racial-equity-toolkit-opportunity-operationalize-equity/,United States,federal,tool,equity,
Office of Emerging Technology,8,City of San Francisco,http://www.sfpublicworks.org/OET,"San Francisco, California",local,policy,smart cities,
Digital Inclusion Survey,9,City of Austin; University of Texas at Austin Moody College of Communication,https://austintexas.gov/sites/default/files/files/Telecommunications/Digital_Inclusion_in_Austin_April_2_2015.pdf,"Austin, Texas",local,partnership,digital inclusion,
Metro21: Smart Cities Institute,9,Carnegie Mellon University; City of Pittsburgh,https://www.cmu.edu/metro21/,"Pittsburgh, Pennsylvania",local,partnership,research & development,
Tech Goes Home,9,,https://www.techgoeshome.org/,"Boston, Massachusetts",local,partnership,digital inclusion,
Digital Equity Act of 2019,9,US Senator Patty Murray (WA),https://www.digitalequityact.org/,United States,federal,policy,digital inclusion,
5G Permitting Strategy,9,City of Los Angeles,https://www.axios.com/5g-digital-divide-19b70d34-4978-44df-a1cb-ae9222d113ef.html,"Los Angeles, California",local,strategy,digital inclusion,
Closing the Digital Divide,9,Federal Reserve Bank of Dallas - San Antonio Branch,https://www.dallasfed.org/~/media/documents/cd/pubs/digitaldivide.pdf,"San Antonio, Texas",local,report,digital inclusion,
KC Digital Drive,9,,https://www.kcdigitaldrive.org/,"Kansas City, Missouri",local,partnership,digital inclusion,
Smart City PDX Priorities Framework,1; 4; 7,City of Portland,https://www.smartcitypdx.com/priorities-framework,"Portland, Oregon",local,strategy,smart cities,Christine.Kendrick@portlandoregon.gov
Emerging Technology Board,1; 8,City of Kansas City,http://cityclerk.kcmo.org/LiveWeb/Documents/Document.aspx?q=B3m6jg3G5c%2bHMmNdLkJjPEmECb178EPfRbFf%2f9yv5XyqRQg%2ft1%2fOH1GNnAWVVd68,"Kansas City, Missouri",local,policy,smart cities,AJ.Herrmann@kcmo.org>
Beta Blocks Action Research,2; 3,City of Boston,https://www.boston.gov/innovation-and-technology/beta-blocks,"Boston, Massachusetts",local,program,research & development,
Spatial Equity Data Tool,2; 4,Urban Institute,https://apps.urban.org/features/equity-data-tool,United States,local,tool,data analytics,anarayanan@urban.org
PGH Lab,2; 9,City of Pittsburgh,https://pittsburghpa.gov/innovation-performance/pghlab/index.html,"Pittsburgh, Pennsylvania",local,program,research & development,itha.cao@pittsburghpa.gov
Pitch & Pilot Program,2; 9,City of Philadelphia,https://www.phila.gov/programs/pitch-and-pilot/,"Philadelphia, Pennsylvania",local,program,research & development,Andrew.Buss@phila.gov
Community Control Over Police Surveillance,5; 6,ACLU,https://www.aclu.org/issues/privacy-technology/surveillance-technologies/community-control-over-police-surveillance,United States,federal,policy,data privacy,
Legal Technology Lab,5; 9,University of Missouri-Kansas City School of Law,https://thelegaltechlab.com/,"Kansas City, Missouri",local,partnership,data privacy,luppinoa@umkc.edu
Emerging Technology Open Working Group,7; 8,City of San Francisco,https://emergingtech.sfgov.org/sites/default/files/2019-01/ET_Report_0119Single_0.pdf,"San Francisco, California",local,policy,smart cities,
